"siteid","sitename","lat","lon","ambrosia_onset_bp","ambrosia_explosion_bp","ambrosia_precontact","ambrosia_postcontact","ambrosia_at_contact","ambrosia_phase2","ambrosia_phase2_age","max_ambrosia_pct","max_ambrosia_age"
963,"Water Conservation Area 3B, Gumbo Limbo Marsh",25.77889,-80.51111,302,302,FALSE,TRUE,TRUE,FALSE,NA,3.73,50
964,"Water Conservation Area 3B, Gumbo Limbo Near Tail",25.88694,-80.56139,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,0,NA
965,"Water Conservation Area 3B, Gumbo Limbo Wet Head",25.77361,-80.50639,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,0.31,50
968,"Hack Pond",37.98472,-78.99722,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,1.22,7492
1102,"Humber Pond 3",43.64,-79.48,120,120,FALSE,TRUE,FALSE,TRUE,145,31.22,53
1103,"Humber Pond 5",43.64,-79.49,524,3974,TRUE,FALSE,TRUE,FALSE,NA,18.87,524
1104,"Humber Pond 7",43.65,-79.5,2949,2949,TRUE,FALSE,TRUE,FALSE,NA,37.22,225
1410,"Kellys Hollow",45.3,-90.35,24,7781,TRUE,FALSE,FALSE,FALSE,NA,6.1,24
1569,"Tourbière de Lanoraie STJEAN",46,-73.21694,367,5440,TRUE,FALSE,TRUE,FALSE,NA,0.75,179
1643,"Mansell Pond",45.04167,-68.73333,218,161,FALSE,TRUE,FALSE,FALSE,NA,1.61,26
1756,"No Bottom Pond",41.28333,-70.20833,620,620,TRUE,FALSE,TRUE,FALSE,NA,5.63,-35
1841,"Pitcher Bog",44.82,-79.98,1861,1861,TRUE,FALSE,TRUE,FALSE,NA,12.26,90
1908,"Powers Fort Swale",36.6,-90.58333,545,545,TRUE,FALSE,TRUE,FALSE,NA,0.14,-35
1914,"Protection Bog",42.62222,-78.46667,172,11428,TRUE,FALSE,FALSE,TRUE,4,21.39,4
2512,"Stages Pond",39.66806,-82.9375,1914,1914,TRUE,FALSE,FALSE,FALSE,NA,0.49,81
2539,"Taupawshas Bog",41.275,-70.05833,1268,1268,TRUE,FALSE,TRUE,FALSE,NA,9.33,1268
2937,"Wood Lake",45.33333,-90.08333,102,102,FALSE,TRUE,FALSE,FALSE,NA,0.13,54
2943,"Wylde Bog",43.9,-80.4,53,53,FALSE,TRUE,FALSE,FALSE,NA,44.78,53
36501,"Central Big Creek Marsh",42.645,-80.53922,603,603,TRUE,FALSE,TRUE,FALSE,NA,18.06,33
