"siteid","sitename","lat","lon","is_zea_target","n_samples","n_baseline","n_test","n_taxa","bc_mean_baseline","bc_sd_baseline","threshold","has_signal","onset_age_bp","max_bc","max_bc_age","classification","pct_agricultural","pct_disturbance","pct_deciduous","pct_coniferous","pct_other","ambrosia_onset_bp","ambrosia_explosion_bp","ambrosia_precontact","ambrosia_postcontact","ambrosia_at_contact","ambrosia_phase2","ambrosia_phase2_age","max_ambrosia_pct","max_ambrosia_age","has_zea","zea_first_age_bp","zea_max_pct","zea_max_age_bp","zea_exceeds_baseline","zea_exceedance_age_bp","has_chenopod","chenopod_max_pct","recovery_signal","bc_precontact_mean","bc_postcontact_mean","bc_rerise_mean","has_rerise"
785,"Lake Erie",41.92,-82.76,TRUE,38,31,6,57,0.3348,0.1267,0.5882,FALSE,NA,0.2715,1884,"no_signal",0.2,16.8,22.2,29.1,31.7,60,60,FALSE,TRUE,FALSE,FALSE,NA,19.48,-11,FALSE,NA,0,NA,FALSE,NA,FALSE,0,NA,NA,NA,NA,NA
789,"Lac à la Fourche",47.60972,-70.61583,FALSE,36,28,8,74,0.1601,0.1211,0.4023,FALSE,NA,0.11,756,"no_signal",0,0.1,0.9,1.4,97.6,NA,9774,TRUE,FALSE,FALSE,FALSE,NA,0.09,9774,FALSE,NA,0,NA,FALSE,NA,FALSE,0,NA,NA,NA,NA,NA
798,"Tourbière de Farnham",45.28278,-72.98278,FALSE,24,19,5,63,0.0424,0.0865,0.2153,FALSE,NA,0.0263,643,"no_signal",0,0.2,1.7,16.6,81.6,2572,2572,TRUE,FALSE,FALSE,FALSE,NA,0,2572,FALSE,NA,0,NA,FALSE,NA,FALSE,0,NA,NA,NA,NA,NA
800,"Fawn Lake (CA:Ontario)",45.41,-79.39,FALSE,30,22,7,46,0.293,0.0611,0.4151,FALSE,NA,0.3867,1110,"no_signal",0,5.8,24.1,41.1,29,350,350,FALSE,TRUE,TRUE,FALSE,NA,6.27,-30,FALSE,NA,0,NA,FALSE,NA,FALSE,0,NA,NA,NA,NA,NA
821,"Frains Lake",42.33,-83.63,FALSE,34,22,12,35,0.451,0.083,0.617,FALSE,NA,0.5245,266,"no_signal",0,14.6,51.3,23.4,10.8,356,16495,TRUE,FALSE,TRUE,TRUE,NA,19.29,266,FALSE,NA,0,NA,FALSE,NA,FALSE,0,TRUE,0.4698,0.4647,0.4828,TRUE
823,"Hayes Lake",49.58333,-93.75,FALSE,56,44,12,50,0.2595,0.1576,0.5747,FALSE,NA,0.2567,526,"no_signal",0.2,4.3,8.6,53.2,33.6,NA,7064,TRUE,FALSE,FALSE,FALSE,NA,6.99,6909,FALSE,NA,0,NA,FALSE,NA,FALSE,0,TRUE,0.2543,0.222,0.2077,FALSE
824,"French Lake",44.945278,-94.421536,FALSE,36,3,33,106,0.0703,0.0017,0.0736,TRUE,2839,0.3825,100,"H3_natural",2.3,17.5,42.1,7.7,30.4,82,3524,TRUE,FALSE,FALSE,TRUE,NA,19.46,64,TRUE,91,0.219,28,TRUE,28,TRUE,3.714,FALSE,0.2857,0.3277,0.3303,TRUE
826,"Fresh Pond",41.15833,-71.575,TRUE,44,23,20,65,0.3592,0.1392,0.6377,TRUE,2493,1,2493,"H3_natural",0.1,34.1,11,14.8,40,244,8672,TRUE,FALSE,FALSE,TRUE,18,19.18,75,TRUE,131,0.246,131,TRUE,131,FALSE,0,FALSE,0.4214,0.565,0.6631,TRUE
828,"Fudger Lake",40.1,-83.53333,FALSE,57,48,8,67,0.288,0.0812,0.4505,FALSE,NA,0.3839,1042,"no_signal",0.1,2.1,28.1,11.4,58.3,NA,6115,TRUE,FALSE,FALSE,FALSE,NA,6.3,-17,FALSE,NA,0,NA,FALSE,NA,FALSE,0,NA,NA,NA,NA,NA
829,"Furnival Lake",48.21,-84.93,FALSE,38,24,12,45,0.3454,0.1091,0.5636,FALSE,NA,0.3837,2970,"no_signal",0,1.8,38.1,45.1,15,NA,-6,FALSE,TRUE,FALSE,FALSE,NA,7.07,-28,FALSE,NA,0,NA,FALSE,NA,FALSE,0,TRUE,0.2813,0.2525,NA,NA
830,"Saint-Gabriel",46.27583,-73.47583,FALSE,58,41,17,95,0.0108,0.017,0.0448,FALSE,NA,0.006,2851,"no_signal",0,2.2,9.3,11.3,77.3,NA,9578,TRUE,FALSE,FALSE,FALSE,NA,0.03,9578,FALSE,NA,0,NA,FALSE,NA,FALSE,0,FALSE,0.0044,0.0053,0.0049,FALSE
833,"Gass Lake",44.05,-87.73333,FALSE,54,43,11,65,0.2134,0.1013,0.4159,TRUE,2594,0.6174,2594,"H3_natural",0,11.8,39.5,10.7,37.9,96,13670,TRUE,FALSE,FALSE,TRUE,0,9.61,28,FALSE,NA,0,NA,FALSE,NA,FALSE,0,NA,NA,NA,NA,NA
835,"Georgian Bay, Lake Huron (1)",44.74,-80.86,FALSE,42,34,7,48,0.2697,0.0558,0.3812,FALSE,NA,0.3232,1975,"no_signal",0,4.8,30.8,32.3,32,30,11023,TRUE,FALSE,FALSE,FALSE,NA,14.75,-18,FALSE,NA,0,NA,FALSE,NA,FALSE,0,NA,NA,NA,NA,NA
836,"Georgian Bay, Lake Huron (2)",45.17,-81.32,FALSE,60,51,9,42,0.2974,0.0991,0.4957,FALSE,NA,0.3416,1050,"no_signal",0,2.6,31.7,27.3,38.4,NA,12000,TRUE,FALSE,FALSE,FALSE,NA,4.52,12000,FALSE,NA,0,NA,FALSE,NA,FALSE,0,NA,NA,NA,NA,NA
837,"Lac Geai",45.99583,-73.99278,FALSE,51,37,14,84,0.014,0.0235,0.0611,FALSE,NA,0.0102,1730,"no_signal",0,2,4.1,13.8,80.1,NA,10382,TRUE,FALSE,FALSE,FALSE,NA,0.07,10382,FALSE,NA,0,NA,FALSE,NA,FALSE,0,TRUE,0.0088,0.0065,0.0056,FALSE
842,"Lac à St-Germain",45.94583,-74.37083,FALSE,62,53,9,81,0.0264,0.0484,0.1232,FALSE,NA,0.0203,2176,"no_signal",0,1,6.3,3.6,89.1,73,10749,TRUE,FALSE,FALSE,FALSE,NA,0.04,73,FALSE,NA,0,NA,FALSE,NA,FALSE,0,NA,NA,NA,NA,NA
940,"Goshen Springs",31.72111,-86.13417,FALSE,46,35,11,89,0.2968,0.0711,0.4391,FALSE,NA,0.4377,0,"no_signal",3.1,16.3,17.5,7.8,55.3,200,200,FALSE,TRUE,FALSE,FALSE,NA,5.23,0,FALSE,NA,0,NA,FALSE,NA,FALSE,0,NA,NA,NA,NA,NA
941,"Gould Pond",44.98333,-69.31667,FALSE,75,58,15,89,0.4315,0.1285,0.6886,FALSE,NA,0.4842,1317,"no_signal",0,6.7,14.9,37.6,40.9,180,12255,TRUE,FALSE,FALSE,FALSE,NA,4.02,13,FALSE,NA,0,NA,FALSE,NA,FALSE,0,TRUE,0.4401,0.3894,NA,NA
942,"Gould's Bog",42.53333,-72.18333,FALSE,49,41,8,75,0.3667,0.1488,0.6643,FALSE,NA,0.6446,660,"no_signal",0,4.8,15.6,31.5,48,187,13280,TRUE,FALSE,FALSE,FALSE,NA,6.14,133,FALSE,NA,0,NA,FALSE,NA,FALSE,0,NA,NA,NA,NA,NA
943,"Graham Lake",45.18333,-77.35,FALSE,215,174,41,82,0.2616,0.1047,0.4709,FALSE,NA,0.4362,1361,"no_signal",0,8.4,28.5,48.1,15,1069,6727,TRUE,FALSE,TRUE,FALSE,NA,9.18,0,FALSE,NA,0,NA,FALSE,NA,FALSE,0,TRUE,0.3343,0.2638,0.2948,TRUE
952,"Green Lake",44.88333,-85.11667,FALSE,45,36,9,35,0.3904,0.1124,0.6152,FALSE,NA,0.5626,1919,"no_signal",0,7.3,49.1,36,7.6,NA,14107,TRUE,FALSE,FALSE,FALSE,NA,8.28,13135,FALSE,NA,0,NA,FALSE,NA,FALSE,0,NA,NA,NA,NA,NA
956,"Grenadier Pond",43.64,-79.47,FALSE,79,33,43,65,0.2797,0.1776,0.6349,FALSE,NA,0.4525,2566,"no_signal",0.1,20.5,35.2,20.8,23.4,2817,2817,TRUE,FALSE,FALSE,FALSE,NA,20,25,FALSE,NA,0,NA,FALSE,NA,FALSE,0,NA,NA,NA,NA,NA
962,"Water Conservation Area 3B, Gumbo Limbo Far Tail",25.77472,-80.50556,FALSE,16,7,8,22,0.1659,0.0792,0.3243,TRUE,2416,0.8905,151,"H3_natural",0.1,0,0.1,8.2,91.6,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,0,NA,FALSE,NA,0,NA,FALSE,NA,FALSE,0,NA,NA,NA,NA,NA
963,"Water Conservation Area 3B, Gumbo Limbo Marsh",25.77889,-80.51111,FALSE,21,6,13,34,0.24,0.11,0.46,TRUE,988,0.5395,22,"H3_natural",0.5,2.3,1.4,25.9,70,302,302,FALSE,TRUE,TRUE,FALSE,NA,3.73,50,FALSE,NA,0,NA,FALSE,NA,FALSE,0,FALSE,0.3352,0.4185,0.4425,TRUE
964,"Water Conservation Area 3B, Gumbo Limbo Near Tail",25.88694,-80.56139,FALSE,11,5,6,19,0.1366,0.0553,0.2472,TRUE,1202,0.8169,131,"H3_natural",0,0,0.5,3.9,95.6,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,0,NA,FALSE,NA,0,NA,FALSE,NA,FALSE,0,NA,NA,NA,NA,NA
965,"Water Conservation Area 3B, Gumbo Limbo Wet Head",25.77361,-80.50639,FALSE,17,7,8,26,6e-04,5e-04,0.0015,TRUE,1455,0.9988,50,"H3_natural",0,0.2,0.3,1.2,98.4,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,0.31,50,FALSE,NA,0,NA,FALSE,NA,FALSE,0,NA,NA,NA,NA,NA
968,"Hack Pond",37.98472,-78.99722,FALSE,36,29,7,48,0.4014,0.0624,0.5261,FALSE,NA,0.3833,2203,"no_signal",0,0.2,40.2,30.1,29.5,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,1.22,7492,FALSE,NA,0,NA,FALSE,NA,FALSE,0,NA,NA,NA,NA,NA
1102,"Humber Pond 3",43.64,-79.48,TRUE,59,14,41,68,0.3163,0.102,0.5203,TRUE,87,0.6014,87,"H3_natural",0,32.5,20.4,18.2,28.9,120,120,FALSE,TRUE,FALSE,TRUE,145,31.22,53,FALSE,NA,0,NA,FALSE,NA,FALSE,0,FALSE,0.3735,0.4112,0.4195,TRUE
1103,"Humber Pond 5",43.64,-79.49,TRUE,34,11,22,53,0.2419,0.0766,0.3951,TRUE,2891,0.8666,2170,"H3_natural",0,41.1,10.4,32.7,15.7,524,3974,TRUE,FALSE,TRUE,FALSE,NA,18.87,524,TRUE,616,0.237,616,TRUE,616,FALSE,0,NA,NA,NA,NA,NA
1104,"Humber Pond 7",43.65,-79.5,TRUE,48,8,39,59,0.2764,0.0589,0.3942,TRUE,2895,0.934,356,"H3_natural",0,38.4,26.7,21.5,13.3,2949,2949,TRUE,FALSE,TRUE,FALSE,NA,37.22,225,TRUE,422,0.299,32,TRUE,32,FALSE,0,FALSE,0.4264,0.7475,0.621,FALSE
1410,"Kellys Hollow",45.3,-90.35,TRUE,48,39,8,71,0.5367,0.129,0.7947,FALSE,NA,0.7767,24,"no_signal",0.2,3.2,20.8,18.9,56.9,24,7781,TRUE,FALSE,FALSE,FALSE,NA,6.1,24,FALSE,NA,0,NA,FALSE,NA,TRUE,3.906,FALSE,0.4324,0.7301,NA,NA
1569,"Tourbière de Lanoraie STJEAN",46,-73.21694,TRUE,42,28,14,78,0.0277,0.0257,0.0791,TRUE,179,0.389,90,"H3_natural",0,2.4,9.7,5.2,82.6,367,5440,TRUE,FALSE,TRUE,FALSE,NA,0.75,179,FALSE,NA,0,NA,FALSE,NA,FALSE,0,FALSE,0.0221,0.141,0.1629,TRUE
1643,"Mansell Pond",45.04167,-68.73333,TRUE,110,74,33,113,0.2393,0.0956,0.4306,FALSE,NA,0.3125,40,"no_signal",0,6.1,31,49.4,13.4,218,161,FALSE,TRUE,FALSE,FALSE,NA,1.61,26,FALSE,NA,0,NA,FALSE,NA,FALSE,0,FALSE,0.2301,0.2431,0.2444,TRUE
1756,"No Bottom Pond",41.28333,-70.20833,TRUE,48,29,18,74,0.4219,0.0885,0.5989,TRUE,211,0.9837,211,"H3_natural",0.2,18.9,13.3,22.5,45.1,620,620,TRUE,FALSE,TRUE,FALSE,NA,5.63,-35,FALSE,NA,0,NA,FALSE,NA,FALSE,0,FALSE,0.4046,0.6649,0.7012,TRUE
1841,"Pitcher Bog",44.82,-79.98,TRUE,20,9,10,51,0.1366,0.0314,0.1994,TRUE,1380,0.4583,90,"H3_natural",0.5,14.2,42.5,7,35.7,1861,1861,TRUE,FALSE,TRUE,FALSE,NA,12.26,90,TRUE,90,0.637,90,TRUE,90,FALSE,0,NA,NA,NA,NA,NA
1908,"Powers Fort Swale",36.6,-90.58333,TRUE,43,32,10,115,0.1434,0.0889,0.3211,FALSE,NA,0.1931,711,"no_signal",0,0.5,0.6,0.4,98.6,545,545,TRUE,FALSE,TRUE,FALSE,NA,0.14,-35,TRUE,6246,0.009,-35,TRUE,570,FALSE,0,NA,NA,NA,NA,NA
1914,"Protection Bog",42.62222,-78.46667,TRUE,40,22,17,74,0.4266,0.0678,0.5622,TRUE,4,0.5732,4,"H3_natural",0,16.3,21.4,33.6,28.8,172,11428,TRUE,FALSE,FALSE,TRUE,4,21.39,4,FALSE,NA,0,NA,FALSE,NA,FALSE,0,FALSE,0.4557,0.4703,0.4995,TRUE
2512,"Stages Pond",39.66806,-82.9375,TRUE,41,3,38,56,0.0024,2e-04,0.0027,TRUE,2725,0.0193,64,"H3_natural",0,8.8,22.6,0.5,68.1,1914,1914,TRUE,FALSE,FALSE,FALSE,NA,0.49,81,TRUE,1548,0.005,1548,FALSE,NA,FALSE,0,FALSE,0.0042,0.0081,0.009,TRUE
2539,"Taupawshas Bog",41.275,-70.05833,TRUE,30,21,8,61,0.3922,0.1055,0.6033,TRUE,2566,0.7032,944,"H3_natural",0,6,7.7,12.9,73.3,1268,1268,TRUE,FALSE,TRUE,FALSE,NA,9.33,1268,FALSE,NA,0,NA,FALSE,NA,FALSE,0,NA,NA,NA,NA,NA
2937,"Wood Lake",45.33333,-90.08333,TRUE,52,31,20,82,0.0172,0.0097,0.0366,FALSE,NA,0.0242,54,"no_signal",0.1,3.6,23.7,30.7,41.7,102,102,FALSE,TRUE,FALSE,FALSE,NA,0.13,54,TRUE,7893,0.012,7893,TRUE,102,FALSE,0,FALSE,0.0139,0.0172,0.02,TRUE
2943,"Wylde Bog",43.9,-80.4,TRUE,66,51,15,49,0.4351,0.1296,0.6943,TRUE,53,0.699,53,"H3_natural",0,20.3,11.9,37.1,30.6,53,53,FALSE,TRUE,FALSE,FALSE,NA,44.78,53,FALSE,NA,0,NA,FALSE,NA,FALSE,0,FALSE,0.4108,0.5127,0.699,TRUE
36501,"Central Big Creek Marsh",42.645,-80.53922,TRUE,59,28,27,78,0.3382,0.0714,0.4809,TRUE,465,0.6054,33,"H3_natural",0,5.1,13,20.4,61.5,603,603,TRUE,FALSE,TRUE,FALSE,NA,18.06,33,FALSE,NA,0,NA,FALSE,NA,FALSE,0,FALSE,0.4264,0.4592,0.4837,TRUE
