"datasetid","sitename","lat","lon","signal_onset_age","pastoral_exceed_age","arable_exceed_age","forest_exceed_age","first_index","has_pastoral","has_arable","total_bc","pastoral_arable_pct","climate_tree_pct","succession_tree_pct","wetland_pct","other_pct","classification"
4045,"Flögeln",NA,NA,5822,5397,2197,5822,"forest",TRUE,TRUE,0.644836285118676,16.6230892248004,37.2326053010475,19.7673582740884,4.95681172837805,21.4201354716856,"H1_anthropogenic"
4056,"Le Fourneau",48.44444,-0.19167,6663,4272,4103,6050,"forest",TRUE,TRUE,0.416525656892846,2.10500584078733,29.8295107168606,25.0489485716204,1.72259786598727,41.2939370047444,"H1_anthropogenic"
4058,"Fuchsschwanzmoos",47.11667,13.9,6882,6439,5383,6882,"forest",TRUE,TRUE,0.39784686575506,0.83491924893926,6.69786800671598,10.2181942333387,2.58775586093225,79.6612626500738,"H1_anthropogenic"
4059,"Giecz",52.32201,17.3655,6300,5506,2039,5987,"forest",TRUE,TRUE,0.255432561502475,3.9003884175473,40.6863535343368,10.8380552379549,3.70354637833875,40.8716564318223,"H1_anthropogenic"
4064,"Bois des Gardes",45.41667,2.7,6277,6277,5575,NA,"pastoral",TRUE,TRUE,0.532826805701289,3.87877781641462,11.5614340181366,29.6876385792755,1.00885769501657,53.8632918911567,"H1_anthropogenic"
4086,"Hawks Tor",NA,NA,6294,NA,NA,NA,"none",FALSE,FALSE,0.56238645555301,5.16315354000406,15.3594429626666,4.49966651701292,36.8652594982415,38.1124774820749,"H3_natural"
4095,"Hockham Mere",52.5,0.83333,6926,5144,2148,6869,"forest",TRUE,TRUE,0.333041220035407,2.27953848546416,45.3991612815171,34.5454135031993,1.51316978896789,16.2627169408516,"H1_anthropogenic"
4104,"Ivano-Frankovskoye",49.91667,23.76667,6250,NA,NA,4375,"forest",FALSE,FALSE,0.171405350776878,0,19.602569139648,8.64991875914552,18.2255762332152,53.5219358679913,"H3_natural"
4118,"Liptovský Ján",49.04167,19.67778,6097,6097,NA,4880,"pastoral",TRUE,FALSE,0.411385177645617,1.3670081636779,21.7962241282643,2.99747832440076,7.92394079968358,65.9153485839735,"H1_anthropogenic"
4120,"Jasiel",49.3705,21.8875,6666,5773,4541,6666,"forest",TRUE,TRUE,0.556242651707118,0.626891359615224,24.1018617258542,18.3227366877215,8.02934008361059,48.9191701431985,"H1_anthropogenic"
4123,"Červené blato",NA,NA,6747,2347,993,6747,"forest",TRUE,TRUE,0.491749995435389,0.954277629596418,47.790675582457,7.16791897131368,12.4085510650312,31.6785767516017,"H1_anthropogenic"
4129,"Barbora",NA,NA,6608,6608,6169,6608,"pastoral",TRUE,TRUE,0.504650729699322,0.254694586829453,44.0134458106653,20.8820719113696,11.9325121605758,22.9172755305599,"H1_anthropogenic"
4154,"Kluki",54.70694,17.28472,6741,2239,5516,4605,"arable",TRUE,TRUE,0.400687309948118,4.46144523745738,44.4569121680066,3.41157272045422,16.0895876208101,31.5804822532717,"H1_anthropogenic"
4186,"Col des Lauzes",44.76722,6.53694,6553,4936,4007,NA,"pastoral",TRUE,TRUE,0.156632230480709,0.422892687795687,29.5450603731245,5.63297418748404,9.54122296793283,54.857849783663,"H1_anthropogenic"
4192,"Lake Lednica",52.54901,17.38084,3666,1949,3666,NA,"arable",TRUE,TRUE,0.313331318214235,8.98058740455423,54.5244506351119,8.6419281347577,0.447405673389595,27.4056281521866,"H1_anthropogenic"
4193,"Lake Lednica",52.54901,17.38084,3738,3738,3286,NA,"pastoral",TRUE,TRUE,0.382119631825806,6.8039334242167,55.4718671573157,16.4792263699807,0.854690419107333,20.3902826293795,"H1_anthropogenic"
4194,"Leikishke Bog",54.53333,23.53333,5843,638,NA,5843,"forest",TRUE,FALSE,0.169121785049178,0.0150836086296135,35.0569508649623,24.3753830150679,11.9539509155641,28.5986315957761,"H1_anthropogenic"
4195,"Leikishke Bog",54.53333,23.53333,4850,NA,NA,4474,"forest",FALSE,FALSE,0.243552429336764,0,40.1415078663357,15.6798331367974,23.7287232553609,20.449935741506,"H3_natural"
4211,"Lac Long Inférieur",44.05778,7.45,6168,4260,2915,NA,"pastoral",TRUE,TRUE,0.265420775065166,4.64814022956714,30.1475122944632,3.58752323576395,2.28070529357985,59.3361189466258,"H1_anthropogenic"
4213,"Lobsigensee",47.03056,7.29806,2006,2006,2006,NA,"pastoral",TRUE,TRUE,0.607259666719731,16.075168331908,32.2936339906448,13.7023219435439,7.14788917384244,30.7809865600609,"H1_anthropogenic"
4215,"Locmariaquer",47.55444,-2.93222,6882,6609,6791,NA,"arable",TRUE,TRUE,0.452832934514561,13.215902783968,8.54674233195697,33.716071970073,1.55119344189465,42.9700894721073,"H1_anthropogenic"
4507,"Vallon de Provence",44.39111,6.40417,3453,NA,3453,3216,"arable",FALSE,TRUE,0.449741497182447,0.539548023073962,40.812778332223,6.34600396395643,18.1361638803632,34.1655058003834,"H1_anthropogenic"
24084,"Švarcenberk",NA,NA,6855,NA,5163,NA,"arable",FALSE,TRUE,0.487950851142476,0.292092250614002,41.3613635597,9.75897243730665,10.0781987263515,38.5093730260278,"H1_anthropogenic"
24086,"Švarcenberk",NA,NA,6969,6823,6823,6969,"forest",TRUE,TRUE,0.739502063782318,0.270984516745247,41.0535502331808,39.9027806043667,3.61817547494467,15.1545091707625,"H1_anthropogenic"
24089,"Komořanské jezero",NA,NA,6159,6159,3532,6159,"pastoral",TRUE,TRUE,0.570056989421089,1.08481089586185,45.2870180528199,20.7611892202062,1.13172371318838,31.7352581179237,"H1_anthropogenic"
25279,"Clapeyret",44.15028,7.24333,6136,2386,841,NA,"pastoral",TRUE,TRUE,0.235602873253035,2.44771692165949,34.1958933392024,11.5408147346648,19.3663634355944,32.4492115688789,"H1_anthropogenic"
25285,"Hières sur Amby",45.79083,5.28333,6775,6734,4437,6193,"pastoral",TRUE,TRUE,0.502501295844437,2.19351753846829,36.519995185075,7.39928542743902,5.61577814707131,48.2714237019463,"H1_anthropogenic"
40627,"Aegelsee",46.64583,7.54333,6982,5798,6585,NA,"arable",TRUE,TRUE,0.467788896583515,0.543561545958017,19.9711298196709,5.33041721814341,4.73841080179443,69.4164806144332,"H1_anthropogenic"
42719,"Le Grand Etang de Suze-La-Rousse",44.32389,4.83361,6687,6220,6687,6220,"arable",TRUE,TRUE,0.336032785218483,1.6858638555386,24.2488612372843,34.745693802164,2.70116715082506,36.6184139541881,"H1_anthropogenic"
52645,"Lobsigensee",47.03056,7.29806,6814,5161,5161,3829,"pastoral",TRUE,TRUE,0.516016855795739,0.27470735546709,22.5026271184846,32.5835581482764,0.530007357185753,44.1091000205862,"H1_anthropogenic"
52648,"Lobsigensee",47.03056,7.29806,5726,5214,5470,NA,"arable",TRUE,TRUE,0.574161603975404,3.27312400547591,37.2094887639175,22.5982925102035,1.96701747018695,34.9520772502162,"H1_anthropogenic"
68809,"Lobsigensee",47.03056,7.29806,6820.12,5597.75,6305.44,NA,"arable",TRUE,TRUE,0.545629065546421,4.16046039691197,32.6742698177546,18.9155353004706,2.49419325025849,41.7603354619427,"H1_anthropogenic"
