"datasetid","sitename","signal_onset_age","pastoral_baseline_mean","pastoral_threshold","pastoral_exceedance_age","pastoral_detected","arable_baseline_mean","arable_threshold","arable_exceedance_age","arable_detected","forest_baseline_mean","forest_threshold","forest_exceedance_age","forest_detected","leading_index","bc_total","bc_anthro_pct","bc_climate_tree_pct","bc_succession_tree_pct","bc_wetland_pct","bc_other_pct","classification"
4168,"Kuivajarvi",5158,0.0029,0.0081,3842,TRUE,5e-04,0.0026,2210,TRUE,0.0233,0.0084,1473,TRUE,"pastoral",0.2081,1,60.7,4.7,2.7,31,"H1_anthropogenic"
54692,"Kunda Arusoo",6176,0.0054,0.027,5657,TRUE,4e-04,0.0023,3367,TRUE,0.0332,-0.0181,NA,FALSE,"pastoral",0.6965,0.1,25.4,4.3,49.1,21,"H1_anthropogenic"
52082,"Laihalampi",6384.629,0.0064,0.0183,6384.629,TRUE,0.0048,0.0168,6384.629,TRUE,0.028,0.0018,NA,FALSE,"pastoral",0.1957,4,60.4,10.8,2,22.8,"H1_anthropogenic"
46516,"Lake Babinskoye",6557,5e-04,0.0021,6241,TRUE,0,0,4618,TRUE,0.1385,0.0511,1332,TRUE,"pastoral",0.2369,0.1,33.3,29.1,1.2,36.2,"H1_anthropogenic"
52214,"Lake Badsjön",6642.6,0.0035,0.015,NA,FALSE,0,0,NA,FALSE,0,0,NA,FALSE,"none",0.4652,0.1,96.2,0.1,0.2,3.4,"H3_natural"
4031,"Lake Ermistu",6434,6e-04,0.0028,6434,TRUE,0.0013,0.0057,6312,TRUE,0.0672,0.0069,NA,FALSE,"pastoral",0.2183,1.4,45,25.8,1.1,26.7,"H1_anthropogenic"
4042,"Lake Flarken",3108,0.003,0.0054,3108,TRUE,9e-04,0.0025,1265,TRUE,0.0718,-0.0274,NA,FALSE,"pastoral",0.2019,0.9,48.6,11.4,9.8,29.3,"H1_anthropogenic"
20018,"Lake Flåfattjønna",444,0.0023,0.0057,444,TRUE,0,0,72,TRUE,0.0078,-0.004,NA,FALSE,"pastoral",0.3226,2.8,44.7,5.8,0.4,46.2,"H1_anthropogenic"
22636,"Lake Hancza",4999,0.0046,0.0133,NA,FALSE,0.0029,0.0106,NA,FALSE,0.1776,0.0041,NA,FALSE,"none",0.3791,1.2,46.1,46.1,0.3,6.3,"H3_natural"
20029,"Lake Hopseidet",4991,0.0018,0.0062,4991,TRUE,3e-04,0.0014,4822,TRUE,0.001,-7e-04,NA,FALSE,"pastoral",0.2831,2.1,28.3,2.8,8.8,58,"H1_anthropogenic"
20020,"Lake Ifjord",6768,0.0022,0.0055,6768,TRUE,1e-04,0.001,4723,TRUE,0.0018,-0.0025,NA,FALSE,"pastoral",0.2162,1.9,29.5,0.5,7.7,60.4,"H1_anthropogenic"
45410,"Lake Jarveotsa",5898,2e-04,9e-04,4755,TRUE,0,0,945,TRUE,0.0784,-0.015,NA,FALSE,"pastoral",0.2436,0,43.9,14.7,0.7,40.6,"H1_anthropogenic"
4139,"Lake Karujarv",4691,0,0,NA,FALSE,0,0,NA,FALSE,0.1325,0.0571,3708,TRUE,"forest",0.2354,0,48,27.2,0.7,24.1,"H3_natural"
45407,"Lake Konsu",2145,0,0,63,TRUE,0,0,694,TRUE,0.0495,-0.0379,NA,FALSE,"arable",0.4297,0,59.9,2.1,1.1,36.9,"H1_anthropogenic"
49642,"Lake Kuzi",2084,4e-04,0.0017,1984.762,TRUE,0,0,2084,TRUE,0.1149,0.0081,NA,FALSE,"arable",0.4029,0.3,40.9,6.9,0,52,"H1_anthropogenic"
4241,"Lake Maardu",2571,0,0,NA,FALSE,0,0,NA,FALSE,0.1179,0.0327,2571,TRUE,"forest",0.3155,0,25.7,18.8,3.3,52.2,"H3_natural"
45381,"Lake Maardu",3039,0.001,0.0035,3039,TRUE,0,0,3039,TRUE,0.1392,0.0277,1700,TRUE,"pastoral",0.3122,5,26.9,22.3,0.6,45.2,"H1_anthropogenic"
45408,"Lake Martiska",859,2e-04,0.0013,277,TRUE,0,0,568,TRUE,0.0897,-0.0151,NA,FALSE,"arable",0.3321,0,48.3,20.9,1,29.8,"H1_anthropogenic"
45398,"Lake Plaani Külajärv",4962,0.0045,0.0121,1640,TRUE,1e-04,0.0012,2700,TRUE,0.1673,0.0785,2700,TRUE,"arable",0.2612,0.8,31,14.8,0.2,53.2,"H1_anthropogenic"
45379,"Lake Ruila",6514,7e-04,0.0039,2956,TRUE,0,0,3402,TRUE,0.0484,-0.0146,NA,FALSE,"arable",0.2872,0.2,60.2,13.3,1.2,25.1,"H1_anthropogenic"
52255,"Lake Skogstjern",6523.5,0.007,0.0153,6446.25,TRUE,4e-04,0.0021,4856.224,TRUE,0.0849,-0.0321,NA,FALSE,"pastoral",0.3643,0.9,48,17.2,0.2,33.7,"H1_anthropogenic"
4445,"Lake Solsø",4657,0.0463,0.0694,4657,TRUE,0.0023,0.0057,4657,TRUE,0.0677,-0.027,NA,FALSE,"pastoral",0.3661,17.8,23.8,19,4.3,35.1,"H1_anthropogenic"
4446,"Lake Solsø",6687,0.0515,0.0754,4997,TRUE,0.0041,0.0054,6687,TRUE,0.1046,0.0309,NA,FALSE,"arable",0.1334,11.1,45.3,14.7,0.7,28.2,"H1_anthropogenic"
53972,"Lake Svartkälstjärn",6040.3,0.0048,0.0171,NA,FALSE,0,0,2895.4,TRUE,0.0056,-0.0045,NA,FALSE,"arable",0.2441,1.5,77.9,4.1,1.4,15.1,"H1_anthropogenic"
4403,"Lake Sämbosjön",3041,0.0058,0.01,3041,TRUE,0,1e-04,3041,TRUE,0.1425,7e-04,NA,FALSE,"pastoral",0.2814,5.7,44.4,7.8,2.9,39.2,"H1_anthropogenic"
53980,"Lake Tibenatus",6280,0.0053,0.0126,1531.778,TRUE,0,0,NA,FALSE,0,0,NA,FALSE,"pastoral",0.5141,0.5,89.8,0.3,0.6,8.7,"H1_anthropogenic"
4496,"Lake Trummen",5690,0.0035,0.0073,3213,TRUE,0,0,3814,TRUE,0.0353,-0.0191,NA,FALSE,"arable",0.2298,0.6,49.3,36.1,0.6,13.5,"H1_anthropogenic"
24155,"Lake Tsuolbmajavri",6536,0.0016,0.0083,NA,FALSE,0,0,3997,TRUE,0.0015,-0.0028,NA,FALSE,"arable",0.3777,0.2,79.2,0.5,0,20,"H1_anthropogenic"
46453,"Lake Uzlovoye",6545,8e-04,0.0036,4901,TRUE,0,0,4791,TRUE,0.0085,-0.0065,NA,FALSE,"pastoral",0.2137,0.2,61.2,18.4,4,17.1,"H1_anthropogenic"
45391,"Lake Verijärv",6778,0.0034,0.0079,2169,TRUE,2e-04,0.0011,5898,TRUE,0.0836,-0.0089,NA,FALSE,"arable",0.3044,0.3,52.1,17.6,0.5,29.4,"H1_anthropogenic"
53978,"Lake Vuolep Njakajaure",6650,0.0049,0.0212,NA,FALSE,0,0,NA,FALSE,0,0,NA,FALSE,"none",0.4091,0.5,92.7,0.4,0.5,5.8,"H3_natural"
4183,"Landshaftnoe",6412,0.0016,0.0069,NA,FALSE,0,0,NA,FALSE,0.0089,-0.0036,NA,FALSE,"none",0.323,0.2,52.9,1.8,9.6,35.5,"H3_natural"
4194,"Leikishke Bog",5843,3e-04,0.0023,638,TRUE,0,0,NA,FALSE,0.0392,-0.033,NA,FALSE,"pastoral",0.4358,0,53.2,18.8,1.6,26.4,"H1_anthropogenic"
4195,"Leikishke Bog",4850,0,0,NA,FALSE,0,0,NA,FALSE,0.0263,-0.0337,NA,FALSE,"none",0.5887,0,44.3,5,41.4,9.3,"H3_natural"
46469,"Lembolovskoye lake",6637,4e-04,0.002,6353,TRUE,0,0,NA,FALSE,0.0436,-0.0142,NA,FALSE,"pastoral",0.3101,0.3,67.1,10.2,0.5,21.9,"H1_anthropogenic"
53119,"Lervahå bog",5270,6e-04,0.0028,5270,TRUE,0,0,NA,FALSE,0.0025,-0.0015,NA,FALSE,"pastoral",0.3107,0.7,40.9,5.6,26.4,26.5,"H1_anthropogenic"
4203,"Liivjarve Bog",5688,0,0,3346,TRUE,0,0,1327,TRUE,0.0258,-0.0111,NA,FALSE,"pastoral",0.5552,0,35.9,3.5,36.9,23.7,"H1_anthropogenic"
4200,"Lilla Gloppsjön",6423,0.0042,0.0087,147,TRUE,9e-04,0.0037,6423,TRUE,0.0188,-0.0026,NA,FALSE,"arable",0.2414,1,78.3,6.3,0.3,14.1,"H1_anthropogenic"
45713,"Lille Kjelavatn",6837,0.012,0.0235,5656,TRUE,0.0017,0.0075,4924,TRUE,0.0265,0.0102,6098,TRUE,"forest",0.1674,2.2,46,1.2,2,48.5,"H1_anthropogenic"
55917,"Lina myr",5391,0.0023,0.0108,4930,TRUE,0,0,5242,TRUE,0.0724,-0.0273,NA,FALSE,"arable",0.3076,0.4,61.8,10.5,0.7,26.6,"H1_anthropogenic"
45707,"Lisletjønn",6721,0.0075,0.0143,3550,TRUE,2e-04,0.0012,6519,TRUE,0.0346,0.0161,435,TRUE,"arable",0.1387,1.6,56,12,4.5,25.8,"H1_anthropogenic"
20279,"Liten Cap’pesjav’ri",4483,0.0054,0.0131,2739,TRUE,0,0,NA,FALSE,0.0031,-0.0017,NA,FALSE,"pastoral",0.3368,0.8,38.5,3.1,4.8,52.8,"H1_anthropogenic"
45636,"Litlvatnet",5385,0.0074,0.0166,3224,TRUE,0,0,232,TRUE,0.0016,-0.0011,NA,FALSE,"pastoral",0.2543,1.2,28.6,0.9,0.6,68.7,"H1_anthropogenic"
53966,"Ljustjärnen",6159,0.0041,0.0126,1412,TRUE,8e-04,0.0038,1412,TRUE,0.0216,-0.004,NA,FALSE,"pastoral",0.2535,0.8,68.3,5.2,0.4,25.3,"H1_anthropogenic"
24110,"Mabo Moss",5252,0.0098,0.0302,5152,TRUE,0,0,5152,TRUE,0.0192,-0.0247,NA,FALSE,"pastoral",0.5134,0.9,52.6,20.1,19.7,6.7,"H1_anthropogenic"
4257,"Masehjavri",5432,2e-04,0.0011,4078,TRUE,0,0,NA,FALSE,0.0016,-0.0031,NA,FALSE,"pastoral",0.3205,0,69.8,2.7,0.8,26.8,"H1_anthropogenic"
4259,"Mayralampi",6420,0.0072,0.0209,6420,TRUE,1e-04,9e-04,6420,TRUE,0.0091,-0.0046,NA,FALSE,"pastoral",0.218,8.8,31.3,1.5,10.5,47.9,"H1_anthropogenic"
4263,"Mezhgornoe",3050,3e-04,0.0016,2286,TRUE,0,0,NA,FALSE,0.0028,-7e-04,NA,FALSE,"pastoral",0.4544,0,30.2,1.5,2,66.4,"H1_anthropogenic"
4497,"Mire Johvika",4093,0.0037,0.0111,4093,TRUE,0,0,1342,TRUE,0.0181,-0.0091,NA,FALSE,"pastoral",0.4582,19.3,34.7,14.1,15.1,16.8,"H1_anthropogenic"
4531,"Mire Pelisoo",6519,5e-04,0.0045,NA,FALSE,0,0,NA,FALSE,0.0323,-0.0068,NA,FALSE,"none",0.2854,0.1,45.3,29.3,3.2,22.1,"H3_natural"
4346,"Mire Petrolivo",5947,0,0,3570,TRUE,0,0,NA,FALSE,0.0966,-0.1081,NA,FALSE,"pastoral",0.5593,0,34.4,16.5,0.4,48.7,"H1_anthropogenic"
45404,"Mire Saviku",6976,0.0015,0.0046,6585,TRUE,0,0,2164,TRUE,0.0334,-0.0014,NA,FALSE,"pastoral",0.2493,0.4,35.8,18.7,4.8,40.3,"H1_anthropogenic"
45329,"Morttjern",6783,0.0371,0.0592,3293,TRUE,0.0021,0.0065,6783,TRUE,0.0366,-0.0146,NA,FALSE,"arable",0.2179,7.8,35.3,27.7,1.7,27.5,"H1_anthropogenic"
46490,"Mshinskoye raised bog",6810,0,0,6470,TRUE,0,0,NA,FALSE,0.0253,-0.0306,NA,FALSE,"pastoral",0.4655,0,34.7,6.5,43.3,15.6,"H1_anthropogenic"
4286,"Mukkavaara",6751,7e-04,0.0026,5701,TRUE,0,0,NA,FALSE,0.0019,-0.0027,NA,FALSE,"pastoral",0.2479,0.2,88,0.5,1.5,9.7,"H1_anthropogenic"
45377,"Mustjärve bog",6900,0.0145,0.12,6900,TRUE,0,0,5368,TRUE,0.0346,-0.022,NA,FALSE,"pastoral",0.4634,14.1,33.3,9.6,16.8,26.2,"H1_anthropogenic"
44941,"Myrvatnet",244,0.0047,0.0112,244,TRUE,1e-04,0.001,NA,FALSE,0.0012,-0.0014,NA,FALSE,"pastoral",0.3036,6.1,5.9,15,4.7,68.3,"H1_anthropogenic"
45351,"Måsåtjørnet",3001,0.0026,0.0062,3001,TRUE,6e-04,0.0021,3001,TRUE,0.0217,0.0017,488,TRUE,"pastoral",0.2772,3.6,51.5,20.1,2.4,22.4,"H1_anthropogenic"
46477,"Nikolsko-Lutinskoye bog",1286,8e-04,0.0041,1123,TRUE,2e-04,0.0015,1182,TRUE,0.0625,0.0185,1123,TRUE,"arable",0.3967,0.1,29.3,9,26.7,35,"H1_anthropogenic"
46457,"Nizhneosinovskoye peat bog",1262,0.003,0.0133,775,TRUE,7e-04,0.003,1068,TRUE,0.0131,-7e-04,NA,FALSE,"arable",0.5377,0.4,24.4,13,44.4,17.8,"H1_anthropogenic"
49388,"Oldenburg-Priesterwiese",5790,0.004,0.0088,5790,TRUE,7e-04,0.0027,5790,TRUE,0.158,-0.1007,NA,FALSE,"pastoral",0.476,6.1,39.9,31.2,0.2,22.7,"H1_anthropogenic"
4325,"Osvea",6868,3e-04,0.0022,6599,TRUE,0,0,2276,TRUE,0.0386,0.006,4984,TRUE,"pastoral",0.3517,0,18.5,27.4,5.9,48.1,"H1_anthropogenic"
4338,"Pamerkiai Outcrop",6580,0.0021,0.0092,4813,TRUE,0,0,6580,TRUE,0.0021,-0.0027,NA,FALSE,"arable",0.3112,1.7,42.7,3.4,17.5,34.7,"H1_anthropogenic"
49654,"Pantene Mire",6797.941,0.0012,0.0071,2141.153,TRUE,0,0,NA,FALSE,0.0268,-0.0341,NA,FALSE,"pastoral",0.358,0.2,42.1,18.4,9.2,30.2,"H1_anthropogenic"
46544,"Parika",6534,0.0097,0.0274,2670,TRUE,8e-04,0.0047,572,TRUE,0.0464,-0.0115,NA,FALSE,"pastoral",0.377,1.4,46,10.9,16.4,25.2,"H1_anthropogenic"
48926,"Pitkasoo",6648,0.001,0.0031,4984,TRUE,0.001,0.0037,NA,FALSE,0.0531,-0.0136,NA,FALSE,"pastoral",0.3011,0.4,54.9,27.2,3.3,14.1,"H1_anthropogenic"
49432,"Probstenwerder",6943.8,0.0015,0.0031,6943.8,TRUE,0,0,2457.667,TRUE,0.0161,-0.0081,NA,FALSE,"pastoral",0.3754,0.8,13.7,18.6,1.2,65.6,"H1_anthropogenic"
4362,"Punso",4269,0,0,NA,FALSE,0,0,NA,FALSE,0.0757,-0.034,NA,FALSE,"none",0.3683,0,51.6,11.7,2.1,34.7,"H3_natural"
4369,"Raigastvere Lake",5311,3e-04,0.0022,5311,TRUE,0,0,3402,TRUE,0.2107,0.0732,4039,TRUE,"pastoral",0.3084,0.4,40.6,36.7,0.5,21.7,"H1_anthropogenic"
4370,"Ran Viken",4333,0.0028,0.0055,4263,TRUE,0,1e-04,4263,TRUE,0.079,0.0105,NA,FALSE,"pastoral",0.1848,0.7,58.6,26.9,1.7,12.1,"H1_anthropogenic"
45722,"Reiersdalvann",1869,0.0116,0.0227,1869,TRUE,0.0024,0.0061,1869,TRUE,0.0441,-0.0083,NA,FALSE,"pastoral",0.3753,4.3,42,11.5,1.7,40.5,"H1_anthropogenic"
53131,"Reinskaret bog",6609,0.0032,0.0083,5396,TRUE,0,0,NA,FALSE,0.0046,-0.0026,NA,FALSE,"pastoral",0.4082,0.4,27.6,2.2,6.8,63,"H1_anthropogenic"
4390,"Rudushskoe Lake",4260,6e-04,0.0044,1307,TRUE,0,0,3640,TRUE,0.1028,-0.0787,NA,FALSE,"arable",0.5712,0.1,33.5,3,0.4,63.1,"H1_anthropogenic"
4393,"Ryönänsuo",3477,0.0011,0.0037,3052,TRUE,0,0,3052,TRUE,0.0087,-0.005,NA,FALSE,"pastoral",0.4379,0.2,30.4,1.3,23.4,44.7,"H1_anthropogenic"
4372,"Råttuvarri",6966,9e-04,0.003,5834,TRUE,0,0,NA,FALSE,0.0013,-0.002,NA,FALSE,"pastoral",0.3003,0.2,84.1,3.8,4.3,7.6,"H1_anthropogenic"
20060,"Sandvikvatn",6673,0.0232,0.0423,3629,TRUE,0,0,2770,TRUE,0.029,-0.0206,NA,FALSE,"pastoral",0.4084,2.5,27.3,19.1,4.8,46.3,"H1_anthropogenic"
4414,"Shepeta Bog",6765,4e-04,0.002,6765,TRUE,0,0,NA,FALSE,0.0418,-0.0207,NA,FALSE,"pastoral",0.5335,0.4,48.3,16.3,23.9,11.1,"H1_anthropogenic"
54003,"Stavsåkra",5650,0.0293,0.0745,2410,TRUE,4e-04,0.0019,3215,TRUE,0.0265,-0.0187,NA,FALSE,"arable",0.4877,2.8,60,17.5,11.8,8,"H1_anthropogenic"
54016,"Stobydeltat",2637,0.015,0.0317,2562,TRUE,0.0018,0.0045,2562,TRUE,0.0667,-0.0182,NA,FALSE,"pastoral",0.7138,0.5,83.8,8.5,2.4,4.8,"H1_anthropogenic"
53988,"Stor-flen",4388,0.0029,0.009,358,TRUE,0,0,3051,TRUE,0.0026,-0.0024,NA,FALSE,"arable",0.5578,0.3,38.9,4.7,46.9,9.1,"H1_anthropogenic"
54004,"Storasjö",473,0.0113,0.0352,473,TRUE,0,0,400,TRUE,0.0167,-0.0099,NA,FALSE,"pastoral",0.5461,4.8,44.3,3.8,38.1,9,"H1_anthropogenic"
54005,"Storasjö",473,0.0113,0.0352,473,TRUE,0,0,400,TRUE,0.0167,-0.0099,NA,FALSE,"pastoral",0.5461,4.8,44.3,3.8,38.1,9,"H1_anthropogenic"
45331,"Storsandvatnet",3586,0.0102,0.0208,3586,TRUE,2e-04,0.0014,3306,TRUE,0.0061,8e-04,NA,FALSE,"pastoral",0.3609,4.3,69.9,3.4,3.1,19.3,"H1_anthropogenic"
53968,"Storsnasen",6090,0.0029,0.0093,6090,TRUE,0,0,NA,FALSE,0.0015,-0.002,NA,FALSE,"pastoral",0.3399,1.4,44.3,4.7,34,15.6,"H1_anthropogenic"
4466,"Sudoble Lake",6717,0.0029,0.0062,4389,TRUE,0,0,NA,FALSE,0.0775,-0.0203,NA,FALSE,"pastoral",0.3115,0.2,55.6,26.2,0.7,17.3,"H1_anthropogenic"
48917,"Surusoo bog",6969,0.0125,0.05,6969,TRUE,0,0,4099,TRUE,0.0633,0.0214,1665,TRUE,"pastoral",0.5308,4.5,39.1,6.4,46,4,"H1_anthropogenic"
48919,"Surusoo bog",6969,0.0125,0.05,6969,TRUE,0,0,4099,TRUE,0.0633,0.0214,1665,TRUE,"pastoral",0.5308,4.5,39.1,6.4,46,4,"H1_anthropogenic"
48921,"Surusoo bog",6969,0.0125,0.05,6969,TRUE,0,0,4099,TRUE,0.0633,0.0214,1665,TRUE,"pastoral",0.5308,4.5,39.1,6.4,46,4,"H1_anthropogenic"
48923,"Surusoo bog",6969,0.0125,0.05,6969,TRUE,0,0,4099,TRUE,0.0633,0.0214,1665,TRUE,"pastoral",0.5308,4.5,39.1,6.4,46,4,"H1_anthropogenic"
45343,"Svartvatnet",4034,0.0046,0.0106,3596,TRUE,0,0,3139,TRUE,0.0059,0.0011,2034,TRUE,"pastoral",0.3237,0.5,47,11.5,0.4,40.8,"H1_anthropogenic"
4470,"Svencele Bog",6911,0.0042,0.0105,5879,TRUE,0,0,NA,FALSE,0.2895,0.0681,6217,TRUE,"forest",0.5513,0.3,25.4,48.3,1.5,24.5,"H1_anthropogenic"
49658,"Svetinu lake",1634.585,0.0098,0.0248,1634.585,TRUE,4e-04,0.0031,1400.073,TRUE,0.1237,0.0321,1634.585,TRUE,"pastoral",0.3597,2.7,40.7,20.6,1.2,34.8,"H1_anthropogenic"
4472,"Syrjälänsuo",4335,0.0059,0.0167,616,TRUE,0,0,3353,TRUE,0.0154,0.0038,1785,TRUE,"arable",0.2803,1,66.2,12,5.9,14.9,"H1_anthropogenic"
49477,"Thorsberger Moor",4021,0.0057,0.0118,4021,TRUE,9e-04,0.003,4021,TRUE,0.1564,-0.1321,NA,FALSE,"pastoral",0.5011,5.5,42.3,14.8,18.8,18.5,"H1_anthropogenic"
4490,"Tondi",4462,7e-04,0.0038,3842,TRUE,0,0,2942,TRUE,0.0719,-0.0306,NA,FALSE,"pastoral",0.3985,0.1,44,3.8,1,51.1,"H1_anthropogenic"
52088,"Toskaljarvi",5605.2,5e-04,0.0027,3615.3,TRUE,0,6e-04,NA,FALSE,0.001,-0.0019,NA,FALSE,"pastoral",0.3313,0.1,73.2,1.1,0.3,25.4,"H1_anthropogenic"
20042,"Trettetjørn",6399,0.0122,0.0212,6399,TRUE,6e-04,0.0028,NA,FALSE,0.016,0.002,1789,TRUE,"pastoral",0.2515,3.3,24.1,5.4,1.6,65.7,"H1_anthropogenic"
20058,"Trondheimsfjord",6216,7e-04,0.0023,NA,FALSE,1e-04,8e-04,NA,FALSE,0.0019,-0.0016,NA,FALSE,"none",0.3804,0.1,45,2.3,1.5,51.1,"H3_natural"
