"sitename","datasetid","taxon","base_prop","post_prop","abs_diff","bc_contribution","direction","category","group"
"Abernethy Forest",3864,"Plantago uniflora",0.000146198830409357,0,0.000146198830409357,7.30994152046784e-05,"decrease","other","A_anthropogenic"
"Abernethy Forest",3864,"Apiaceae",0.00011368804001819,0,0.00011368804001819,5.6844020009095e-05,"decrease","other","A_anthropogenic"
"Abernethy Forest",3864,"Botrychium lunaria",0.00011368804001819,0,0.00011368804001819,5.6844020009095e-05,"decrease","other","A_anthropogenic"
"Abernethy Forest",3864,"Campanulaceae",0.00011368804001819,0,0.00011368804001819,5.6844020009095e-05,"decrease","other","A_anthropogenic"
"Abernethy Forest",3864,"Epilobium",0.00011368804001819,0,0.00011368804001819,5.6844020009095e-05,"decrease","other","A_anthropogenic"
"Abernethy Forest",3864,"Huperzia selago",0.00011368804001819,0,0.00011368804001819,5.6844020009095e-05,"decrease","other","A_anthropogenic"
"Abernethy Forest",3864,"Lycopodium annotinum",0.00011368804001819,0,0.00011368804001819,5.6844020009095e-05,"decrease","other","A_anthropogenic"
"Abernethy Forest",3864,"Plantago maritima",0.00011368804001819,0,0.00011368804001819,5.6844020009095e-05,"decrease","other","A_anthropogenic"
"Abernethy Forest",3864,"Selaginella selaginoides",0.00011368804001819,0,0.00011368804001819,5.6844020009095e-05,"decrease","other","A_anthropogenic"
"Abernethy Forest",3864,"Brassicaceae",0.000394189479334407,0.000499001996007984,0.000104812516673577,5.24062583367886e-05,"increase","other","A_anthropogenic"
"Abernethy Forest",3864,"Fagus",0,0,0,0,"decrease","other_tree","A_anthropogenic"
"Abernethy Forest",3864,"Helianthemum",0,0,0,0,"decrease","other","A_anthropogenic"
"Abernethy Forest",3864,"Picea",0,0,0,0,"decrease","other","A_anthropogenic"
"Abernethy Forest",3864,"Potentilla-type",0,0,0,0,"decrease","other","A_anthropogenic"
"Abernethy Forest",3864,"Rumex crispus-type",0,0,0,0,"decrease","other","A_anthropogenic"
"Abernethy Forest",3864,"Plantago major/P. media",0,0,0,0,"decrease","other","A_anthropogenic"
"Abernethy Forest",3864,"Succisa pratensis",0,0,0,0,"decrease","other","A_anthropogenic"
"Abernethy Forest",3864,"Lycopodium clavatum",0,0,0,0,"decrease","other","A_anthropogenic"
"Abernethy Forest",3865,"Pinus sylvestris",0.258895195004729,0.679612527265082,0.420717332260353,0.210358666130177,"increase","other","A_anthropogenic"
"Abernethy Forest",3865,"Betula",0.464324538101462,0.129595827219714,0.334728710881747,0.167364355440874,"decrease","climate_sensitive_tree","A_anthropogenic"
"Abernethy Forest",3865,"Corylus/Myrica",0.12973998811798,0.0395905266583246,0.0901494614596556,0.0450747307298278,"decrease","other","A_anthropogenic"
"Abernethy Forest",3865,"Sphagnum",0.00389274691419147,0.0450504796432385,0.041157732729047,0.0205788663645235,"increase","wetland","A_anthropogenic"
"Abernethy Forest",3865,"Poaceae",0.0217982444835943,0.00469797980491712,0.0171002646786772,0.00855013233933859,"decrease","other","A_anthropogenic"
"Abernethy Forest",3865,"Salix",0.0198042793868578,0.00297476881621051,0.0168295105706472,0.00841475528532362,"decrease","other_tree","A_anthropogenic"
"Abernethy Forest",3865,"Dryopteris-type",0.0199571294689651,0.00480242294667293,0.0151547065222921,0.00757735326114606,"decrease","other","A_anthropogenic"
